A1,blank
A2,blank
A3,blank
A4,blank
A5,blank
A6,blank
A7,blank
A8,blank
A9,blank
A10,blank
A11,blank
A12,blank
B1,Ancestor
B2,Ancestor
B3,Ancestor
B4,Ancestor
B5,Ancestor
B6,Ancestor
B7,Ancestor
B8,Ancestor
B9,Ancestor
B10,Ancestor
B11,Ancestor
B12,Ancestor
C1,lasR
C2,lasR
C3,lasR
C4,lasR
C5,lasR
C6,lasR
C7,lasR
C8,lasR
C9,lasR
C10,lasR
C11,lasR
C12,lasR
D1,morA
D2,morA
D3,morA
D4,morA
D5,morA
D6,morA
D7,morA
D8,morA
D9,morA
D10,morA
D11,morA
D12,morA
E1,lasR+pf5r
E2,lasR+pf5r
E3,lasR+pf5r
E4,lasR+pf5r
E5,lasR+pf5r
E6,lasR+pf5r
E7,lasR+pf5r
E8,lasR+pf5r
E9,lasR+pf5r
E10,lasR+pf5r
E11,lasR+pf5r
E12,lasR+pf5r
F1,morA+pf5r
F2,morA+pf5r
F3,morA+pf5r
F4,morA+pf5r
F5,morA+pf5r
F6,morA+pf5r
F7,morA+pf5r
F8,morA+pf5r
F9,morA+pf5r
F10,morA+pf5r
F11,morA+pf5r
F12,morA+pf5r
G1,G1
G2,G1
G3,G1
G4,G1
G5,G1
G6,G1
G7,G1
G8,G1
G9,G1
G10,G1
G11,G1
G12,G1
H1,blank
H2,blank
H3,blank
H4,blank
H5,blank
H6,blank
H7,blank
H8,blank
H9,blank
H10,blank
H11,blank
H12,blank